Tiro aperto,"GENERALE
(si applica a tutte le manovre statiche non comprese nelle altre colonne)",INFLUENZA E INTERAZIONE,DISATTIVARE TRAPPOLE E SCASSINARE SERRATURE,LETTURA RUNE ED USO DI OGGETTI MAGICI,PERCEZIONE E SEGUIRE TRACCE
-26,"ERRORE GROSSOLANO: sbagliate in modo spettacolare. Anzi, se possibile, la manovra sortisce effetti diametralmente opposti a quelli sperati.","ERRORE GROSSOLANO: grossolano tentativo di influenzare cade miseramente nel vuoto. Se possibile, anzi, dà effetti diametralmente opposti a quelli sperati. Se le circostanze non cambiano in meglio, falliscono anche i successivi tentativi.","ERRORE GROSSOLANO: se cercate di scassinare una serratura, l'arnese da scasso che usate si rompe nella toppa. Non sarà aperta fin quando qualcun altro non avrà tolto il pezzo incastrato (con un altro Tiro Manovra per Scassinare Serratura). Se cercate di disattivare una trappola, avrete l'effetto opposto e la farete scattare",ERRORE GROSSOLANO: il potere della Carta Runica o dell'oggetto si attiva contro di voi! Tutte le Rune sulla pergamena sono consumate e non sarete più in grado di usare l'oggetto e le sue proprietà magiche.,"ERRORE GROSSOLANO: non solo non raccogliete informazioni utili, ma vi convincete della validità delle informazioni totalmente false che avete ottenuto. Non potete ripetere il tentativo nella stessa zona, riguardo allo stesso oggetto."
-25,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-24,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-23,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-22,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-21,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-20,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-19,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-18,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
-17,"FALLIMENTO COMPLETO: lapsus mentale, dovuto a incompetenza. Tutte le manovre statiche che tentate nei prossimi 10 Minuti (60 round) si risolvono in un fallimento (vedi 05/75, sotto).","FALLIMENTO COMPLETO: l'uditorio vi rifiuta seccamente, perde fiducia in voi e la vostra aura di autorità viene meno. Tutti i tentativi di influenzare che effettuate nella prossima ora (360round) si risolvorio in un fallimento (vedi 05/75 sotto).",FALLIMENTO COMPLETO: subite un improvviso blocco mentale e i vostri tentativi di scassinare (o disattivare) questa serratura (o trappola) falliscano automaticamente. Le trappole hanno il 50% di probabilità di essere attivate.,FALLIMENTO COMPLETO: subite un blocco mentale in relazione alla Runa (o all'oggetto). I successivi tentativi di lettura o di uso degli stessi falliscono automaticamente. Ci sono 50% di probabilità che l'incantesimo si attivi.,"FALLIMENTO COMPLETO: siete nella confusione mentale più completa. Non solo fallisce questo Tiro Percezione, ma anche tutti gli altri che effettuate nei prossimi 10 Minuti (60 round)."
