id,name_it,name_en,category_it,category_en,type,associated_stat,description_it,description_en,is_primary
acrobatics,Acrobazia,Acrobatics,di manovra e movimento,Maneuver & Movement,MM,AG,Usato nelle manovre in aria o quando si è appesi a qualcosa. Aiuta inoltre a limitare i danni di una eventuale caduta.,"Allows acrobatic leaps, tumbling, and reducing fall damage.",false
astronomy,Astronomia,Astronomy,generali,General,MS,IT,"Usato per stabilire la data, la direzione e la posizione delle stelle, quando queste sono visibili. Molto utile per la navigazione.","Governs star-reading, predicting celestial events, and navigation.",false
tanning,Conciare,Tanning,generali,General,MS,AG,"Usato per la lavorazione della pelle animale e per costruire oggetti di cuoio (armature, bolas, ecc.).",Skill in processing raw hides into leather and repairing leather goods.,false
contortionism,Contorsionismo,Contortionism,di manovra e movimento,Maneuver & Movement,MM,AG,"Usato per adattare il proprio corpo a passare attraverso aperture molto piccole o per assorbire impatti improvvisi (escluse le cadute). Aiuta a liberarsi quando si è legati, ecc.","Governs slipping out of ropes, cuffs, and tight spaces.",false
fletching,Costruire frecce,Fletching,generali,General,MS,AG,"Usato per costruire frecce con il materiale disponibile: legno, metallo, carta, e/o piume.",Allows crafting arrows and bolts from raw materials.,false
trap_building,Costruzione trappole,Trap Building,generali,General,MS,IN,"Usato per costruire trappole anche quando mancano i materiali necessari. Il bonus, inoltre, si sottrae ai Tiri Percezione effettuati per scoprire tali trappole.",Allows designing and setting mechanical traps.,false
cooking,Cucinare,Cooking,generali,General,MS,IT,"Usato per individuare cibo avariato, oppure per preparare o neutralizzare erbe e cibi pericolosi. Comprende la preparazione dei veleni oltre la capacità di preparare dei normali cibi.",Skill in preparing meals and identifying spoiled or poisoned food.,false
dancing,Danza,Dancing,di manovra e movimento,Maneuver & Movement,MM,IN,"Usato per riprodurre un ballo al quale si sia assistito, compresi i rituali magici, ecc.",Governs artistic and ritual dances.,false
sleight_of_hand,Destrezza,Sleight of Hand,sotterfugio,Subterfuge,MS,PR,"Usato per tutte le manovre che richiedono mano svelta: svuotare le tasche altrui, nascondere alla vista piccoli oggetti ed eseguire altri giochi di mano.","Governs pickpocketing, palm-hiding small items, and sleight of hand.",false
smithing,Forgiare,Smithing,generali,General,MS,FR,"Usato per lavorare i metalli non magici al fine di fabbricare o riparare oggetti (armi, armature, ecc.).",Allows crafting and repairing metal weapons and armor.,false
gambling,Giocare d'azzardo,Gambling,generali,General,MS,IT,Usato per partecipare ad un qualsiasi gioco con una significativa probabilità di successo.,Increases chances of winning games of chance and card games.,false
woodcarving,Intagliare,Woodcarving,generali,General,MS,AG,"Usato per fabbricare oggetti con legno, ossa o altri materiali simili.","Allows crafting items from wood, bone, or horn.",false
meditation,Meditazione,Meditation,generali,General,MS,PR,"Usato per entrare in trance, utilizzare la meditazione trascendentale ed uscirne.",Allows entering a trance state to recover focus or resist mental attacks.,false
music,Musica,Music,generali,General,MS,AG,Usato per suonare ogni strumento e comprendere ogni tipo di linguaggio musicale.,Skill in playing musical instruments and singing.,false
navigation,Navigare,Navigation,generali,General,MS,IT,"Usato per tutte le manovre che concernono la navigazione e le conoscenze marinare (ad esempio: per individuare la presenza di secche, ecc.).",Governs steering ships and plotting naval courses.,false
public_speaking,Oratoria,Public Speaking,generali,General,MS,PR,"Usato per impressionare, intrattenere e convincere altre persone, singole o in gruppo, per mezzo di un discorso.","Governs public speaking, debate, and inspiring crowds.",false
herding,Pastorizia,Herding,generali,General,MS,PR,"Usato per riunire, guidare, e condurre greggi e mandrie di animali (pecore, vacche, ecc.).",Governs herding and caring for farm animals.,false
weather_watching,Prevedere il tempo,Weather Watching,generali,General,MS,IT,Usato per determinare le condizioni atmosferiche locali per le successive 24 ore.,Allows predicting local weather conditions for the next 24 hours.,false
foraging,Procurarsi cibo,Foraging,generali,General,MS,IT,"Usato per trovare le risorse locali di acqua potabile, erbe, piante e animali commestibili.","Allows finding drinkable water, edible plants, and small game.",false
rowing,Remare,Rowing,di manovra e movimento,Maneuver & Movement,MM,FR,"Usato per far procedere un'imbarcazione a forza di braccia, con remi, pali, ecc.",Governs rowing and steering small boats.,false
skiing,Sciare,Skiing,di manovra e movimento,Maneuver & Movement,MM,AG,Usato per sciare e scivolare.,Skill in traveling and maneuvering on skis across snow.,false
signaling,Segnalazione,Signaling,generali,General,MS,IN,Usato per qualsiasi forma di comunicazione tramite segnali.,"Allows sending messages via smoke, flags, or light signals.",false
caving,Speleologia,Caving,di manovra e movimento,Maneuver & Movement,MM,IN,"Usato per orizzontarsi in un complesso di grotte e di caverne, riconoscere la loro struttura naturale e per muoversi all'interno di esse o in spazi angusti.",Governs orienting in underground cave networks.,false
disguise,Travestimento,Disguise,sotterfugio,Subterfuge,MS,PR,"Usato per assumere l'identità di un'altra persona, per truccarsi, mascherarsi ecc.",Allows altering physical appearance to look like someone else.,false
diving,Tuffarsi,Diving,di manovra e movimento,Maneuver & Movement,MM,AG,Usato nelle manovre che richiedono una caduta controllata.,Governs diving safely into water from high platforms.,false
rope_use,Uso funi,Rope Use,generali,General,MS,IN,"Usato per riconoscere i nodi, annodare, sciogliere, intrecciare, impiombare, gettare una fune o per eseguire manovre quando si è appesi ad una corda o a qualcosa di analogo.","Governs tying knots, splicing ropes, and using lassoes.",false
tumbling,Volteggiare,Tumbling,di manovra e movimento,Maneuver & Movement,MM,AG,"Usato per balzare in senso orizzontale, rotolarsi o ruzzolare, o anche per stare in equilibrio su oggetti immobili, rami, pennoni, ecc.",Governs vaulting obstacles and balancing on narrow ledges.,false
