"nome";"parlato da";"descrizione"
"Sindarin";"Dúnedain, Nani, Mezzelfi, Lossoth, Uomini dei Boschi, Elfi Noldor, Elfi Silvani, Elfi Sindar (lingua madre)";"Il Sindarin, conosciuto anche come grigio elfico, è una delle principali lingue parlate nella Terra di Mezzo. Derivata dal Quendi era assai diffusa tra gli Elfi rimasti nella Terra di Mezzo tanto da assurgere praticamente a lingua franca tra le varie razze del Beleriand durante la Prima Era. Era anche parlata correntemente dai Númenóreani prima che prendessero piede gli Uomini del Re, e gli Elendili ne fecero la lingua ufficiale dei regni di Gondor e Arnor accanto all'Ovestron. Inventata da John Ronald Reuel Tolkien, parlata dagli Elfi del Beleriand e derivata dall'idioma primordiale ideato sulle sponde del lago di Cuiviénen. Essendo il linguaggio di quegli Eldar i quali erano giunti alle sponde della Terra di Mezzo e invece di traversare il Mare erano rimasti sulle coste del Beleriand. Il loro re era Thingol Grigiomanto di Doriath, e durante il lungo crepuscolo il loro idioma si era trasformato con la mutevolezza delle terre dei mortali, divergendo notevolmente dal linguaggio degli Eldar di là dal Mare. - Il Signore degli Anelli, Appendice F."
"Quenya";"Dúnedain, Mezzelfi, Elfi Noldor (lingua madre), Elfi Silvani, Elfi Sindar";"Il Quenya, anche chiamato Alto Elfico o Antica Lingua, è una lingua la cui origine deriva dall’Elfico Primordiale (e anche dall’Eldarin Comune). Viene parlato dalle due stirpi elfiche che erano giunte sino a Valinor: i Vanyar e i Noldor, quest’ultimi, con lo spostamento verso la Terra di Mezzo finirono col parlare il Sindarin. Si può dire, quindi, che il Quenya viene parlato esclusivamente nella terra di Aman."
"Silvano (Bethteur)";"Elfi Silvani (lingua madre), Elfi Sindar";"Il Silvano (Nandorin) è la lingua parlata dal popolo dei Nandor, quei Teleri che durante il Grande Viaggio scelsero di non proseguire e stabilirsi invece sulle rive dell'Anduin sotto la guida di Lenwë. Il termine Nandorin significa letteralmente 'Lingua dei Nandor'. Dai suoi locutori era chiamato anche Danian (dal nome del loro capo Dân). Il Danian era diviso in due dialetti, cioè l'Ossiriandrin/Ossiriandish o Danian Occidentale parlato in Ossiriand e il Laiquenderin o Danian Orientale parlato a est degli Ered Lindon."
"Adunaico";"Númenóreani Neri (lingua madre), Corsari (lingua madre), Dúnedain (lingua madre), Elfi Noldor";"L'Adûnaico era l'antica lingua dei Dúnedain di Númenor derivata dalla lingua degli Uomini della Casa di Hador e della Casa di Bëor. Questa lingua era largamente parlata dal popolo dell'Isola e finì per sostituire il Quenya durante il regno degli Uomini del Re. Il nome Adûnaico significa letteralmente 'Lingua degli Uomini dell'Ovest'."
"Apysaico";"Haradrim del Nord, Haradrim del Sud (lingua madre)";"Apysaico (spesso scritto anche Apisaico) è una lingua parlata dalle tribù umane del Far Harad (Haradrim del Sud). L'idioma è suddiviso in due varianti principali, Apysaico classico: antica lingua utilizzata principalmente per scopi storici o culturali e Apysaico moderno: dialetto semplificato parlato comunemente dalle tribù del deserto e dai nomadi per facilitare i commerci e le comunicazioni."
"Atliduk";"Beorniani (lingua madre)";"L'Atliduk è la lingua parlata dai Beorniani (i mutatori di pelle che discendono da Beorn). Origine geografica: viene parlato principalmente nelle valli dell'Anduin, l'area boscosa e collinare a ridosso di Bosco Atro dove risiedono i Beorniani. Radici linguistiche: si tratta di una variante o stretto parente del Nahaiduk, un altro idioma degli Uomini del Nord (Northmen). Riceve anche forti influenze dal dialetto della Valle di Dale e dall'Ovestron (la Lingua Comune)."
"Linguaggio Nero (Morbeth)";"Mezzorchi, Mezzi troll, Uruk-hai (lingua madre), Olog-hai (lingua madre), Troll (lingua madre)";"Il Linguaggio Nero (Morbeth) è la lingua ufficiale delle forze di Mordor. È stato creato originariamente da Sauron durante la Seconda Era per imporre un idioma comune a tutti i suoi servitori (Orchi, Troll e Uomini corrotti), i quali fino ad allora comunicavano tramite una miriade di dialetti orcheschi differenti. La lingua della magia oscura: requisito fondamentale per il lancio di incantesimi da parte di incantatori malvagi (come gli Stregoni o i Sacerdoti dell'Oscuro Signore), in parallelo all'uso che i popoli liberi fanno del Quenya o del Sindarin. È una lingua comune di creature malvagie, Nazgûl, Orchi d'élite (Uruk-hai), e di umani corrotti come i Dunlendings ribelli o i traditori infiltrati nelle Marche del Nord. Forma 'Pura' vs Dialetti: la forma pura del Morbeth viene parlata solo da Sauron, dai Nazgûl e dagli ufficiali superiori di Mordor. Gli Orchi comuni utilizzano invece una versione 'degradata' (il Morbeth Orchesco), che mescola la grammatica della Lingua Nera con vecchi termini tribali gergali. Scrittura: sebbene sia una lingua oscura, non possiede un alfabeto proprio. Nei documenti o sulle incisioni (come la celebre scritta sull'Unico Anello) viene trascritta utilizzando i caratteri elfici corsivi, noti come Tengwar (o talvolta le rune Cirth)."
"Dunael";"Dunlandiani (lingua madre), Rohirrim, Wose";"È la lingua madre per la cultura dei Dunlandiani. Radici linguistiche: il Dunael è una lingua degli Uomini della Terra di Mezzo indipendente dall'Ovestron (la Lingua Comune) e dall'Adûnaico (la lingua di Númenor). Una lingua dai suoni duri e gutturali, ispirata storicamente alle lingue celtiche/gallesizzanti (con vocaboli fittizi come Rhyfelwr per 'guerriero' o Tyr per 'torre'). Viene parlata principalmente nel Dunland, nelle colline ai piedi delle Montagne Nebbiose e nelle zone limitrofe a Isengard e Rohan. Esistono vari dialetti del Dunael a seconda dei clan del Dunland (i Clan dei Cani, dei Lupi, ecc.), ma la struttura base rimane sufficientemente uniforme da permettere la comunicazione tra tribù diverse."
"Haradaico";"Númenóreani Neri, Corsari, Haradrim del Nord (lingua madre), Haradrim del Sud, Variag";"L'Haradaico (Haradaic) è la famiglia linguistica dominante nel Vicino Harad (Harad Settentrionale) ed è l'idioma principale associato agli Haradrim (i Sudroni). A differenza dell'Apysaico, che domina nelle zone desertiche del profondo sud, l'Haradaico è la lingua della diplomazia, della guerra e dei grandi commerci a ridosso dei confini di Gondor.  Pur avendo l'Adûnaico come lingua aristocratica o storica, i Corsari e i Númenóreani Neri che vivono nei porti del sud parlano correntemente l'Haradaico per commerciare, governare e arruolare mercenari. Anche i feroci Variag hanno spesso una conoscenza parziale di questo idioma a causa delle frequenti alleanze militari e carovaniere. Parole come Mûmak (l'Olifante) o termini come Gûl, usato in Haradaico per definire una specifica classe di demoni non-morti, fanno parte di questo ceppo."
"Khuzdul (Nanesco)";"Nani (lingua madre), Umli";"Il Khuzdul (chiamato comunemente Nanesco o Dwarvish) è la lingua nativa dei Nani. Il Khuzdul ha una regola ferrea e assoluta: ai personaggi non-Nani (Elfi, Uomini, Hobbit) è vietato imparare il Khuzdul. I Nani considerano la loro lingua un segreto sacro e non la insegnano mai agli stranieri. Unica rarissima eccezione può essere concesso a personaggi storici (come alcuni re degli Elfi in ere passate). I nomi che i Nani usano pubblicamente (come Gimli, Thorin, Balin) non sono Khuzdul, ma nomi in lingua degli Uomini del Nord (Ovestron/Atliduk). I loro veri nomi in Khuzdul sono segreti, non vengono mai rivelati agli stranieri e non appaiono nemmeno sulle loro tombe. Una lingua rigida, orgogliosa e immutabile, creata per loro dal Vala Aulë (il Fabbro). La radice K-Z-D indica tutto ciò che riguarda i Nani (Khâzad significa 'I Nani', Khuzdul 'la lingua dei Nani'). È una lingua dai suoni duri, cacofonici e gutturali, deliberatamente sgradevole all'orecchio degli Elfi. Il Khuzdul scritto non usa caratteri corsivi. Viene trascritto utilizzando le Cirth (le rune nanesche, note anche come Angerthas Moria), perfette per essere incise su pietra, metallo o sulle pareti delle miniere. I Nani possiedono anche una seconda lingua, l'Iglishmêk. Si tratta di un complesso linguaggio dei segni gestuale. Viene usato dai Nani per comunicare in silenzio durante le imboscate in miniera o per mercanteggiare di nascosto davanti ad altre razze senza che queste se ne accorgano."
